方向,板块排名,板块代码,板块名称,板块涨跌幅,板块主力净流入,排序口径,股票排名,股票代码,股票名称,现价,涨跌幅,成交额
净流出,3,BK1331,数字芯片设计,-5.03%,-112.82亿,成交额,2,688525,佰维存储,304.40元,-15.06%,168.00亿
净流出,3,BK1331,数字芯片设计,-5.03%,-112.82亿,成交额,3,688008,澜起科技,252.68元,-6.41%,139.02亿
净流出,3,BK1331,数字芯片设计,-5.03%,-112.82亿,涨幅,1,603501,豪威集团,111.12元,+4.68%,72.32亿
净流出,3,BK1331,数字芯片设计,-5.03%,-112.82亿,涨幅,2,688449,联芸科技,70.99元,+1.85%,13.83亿
净流出,3,BK1331,数字芯片设计,-5.03%,-112.82亿,涨幅,3,688608,恒玄科技,121.49元,+0.99%,10.14亿
净流出,4,BK1328,集成电路封测,-7.05%,-84.18亿,成交额,1,002156,通富微电,78.71元,+1.08%,234.81亿
净流出,4,BK1328,集成电路封测,-7.05%,-84.18亿,成交额,2,600584,长电科技,92.46元,-9.97%,229.67亿
净流出,4,BK1328,集成电路封测,-7.05%,-84.18亿,成交额,3,002185,华天科技,23.11元,-10.01%,151.05亿
净流出,4,BK1328,集成电路封测,-7.05%,-84.18亿,涨幅,1,002156,通富微电,78.71元,+1.08%,234.81亿
净流出,4,BK1328,集成电路封测,-7.05%,-84.18亿,涨幅,2,920139,华岭股份,15.66元,-2.91%,0.73亿
净流出,4,BK1328,集成电路封测,-7.05%,-84.18亿,涨幅,3,688216,气派科技,39.08元,-5.72%,7.20亿
净流出,5,BK1038,光学光电子,-3.28%,-45.22亿,成交额,1,000725,京东方Ａ,6.38元,-9.12%,197.57亿
净流出,5,BK1038,光学光电子,-3.28%,-45.22亿,成交额,2,000100,TCL科技,5.02元,-2.14%,41.97亿
净流出,5,BK1038,光学光电子,-3.28%,-45.22亿,成交额,3,600703,三安光电,14.25元,-4.81%,29.61亿
净流出,5,BK1038,光学光电子,-3.28%,-45.22亿,涨幅,1,300296,利亚德,5.31元,+4.73%,4.25亿
净流出,5,BK1038,光学光电子,-3.28%,-45.22亿,涨幅,2,300889,爱克股份,22.45元,+3.84%,0.81亿
净流出,5,BK1038,光学光电子,-3.28%,-45.22亿,涨幅,3,002955,鸿合科技,28.81元,+2.34%,1.81亿
净流出,6,BK1204,国防军工,-1.05%,-42.58亿,成交额,1,600118,中国卫星,73.92元,-10.00%,64.27亿
净流出,6,BK1204,国防军工,-1.05%,-42.58亿,成交额,2,688629,华丰科技,168.00元,-6.85%,47.10亿
净流出,6,BK1204,国防军工,-1.05%,-42.58亿,成交额,3,600879,航天电子,17.38元,-9.99%,35.64亿
净流出,6,BK1204,国防军工,-1.05%,-42.58亿,涨幅,1,600562,国睿科技,21.15元,+2.82%,2.08亿
净流出,6,BK1204,国防军工,-1.05%,-42.58亿,涨幅,2,600893,航发动力,33.70元,+2.68%,17.96亿
净流出,6,BK1204,国防军工,-1.05%,-42.58亿,涨幅,3,688523,航天环宇,51.45元,+2.67%,5.15亿
净流出,7,BK0459,元件,-4.23%,-40.35亿,成交额,1,002384,东山精密,262.49元,+0.81%,372.58亿
净流出,7,BK0459,元件,-4.23%,-40.35亿,成交额,2,600183,生益科技,152.43元,+3.06%,146.51亿
净流出,7,BK0459,元件,-4.23%,-40.35亿,成交额,3,002463,沪电股份,137.23元,+0.07%,120.66亿
净流出,7,BK0459,元件,-4.23%,-40.35亿,涨幅,1,002141,贤丰控股,5.61元,+10.00%,4.96亿
净流出,7,BK0459,元件,-4.23%,-40.35亿,涨幅,2,001389,广合科技,196.50元,+5.64%,38.76亿
